route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,
001,NormalMonFri,001-1,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-2,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-3,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-4,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-5,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-6,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-7,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-8,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-9,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-10,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-11,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-12,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-13,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-14,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-15,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-16,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-17,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-18,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-19,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-20,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-21,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-22,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-23,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-24,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-25,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-26,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-27,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-28,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-29,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-30,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-31,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-32,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-33,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-34,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-35,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-36,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-37,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-38,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-39,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-40,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-41,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-42,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-43,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-44,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-45,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-46,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-47,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-48,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-49,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-50,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-51,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-52,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-53,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-54,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-55,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-56,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-57,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-58,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-59,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-60,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-61,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-62,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-63,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-64,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-65,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-66,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-67,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-68,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-69,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-70,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-71,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-72,Grosse Pointe Nexus,1,1_E,
001,NormalMonFri,001-73,Westland Meijer,0,1_W,
001,NormalMonFri,001-74,Westland Meijer,0,1_W,
001,NormalMonFri,001-75,Westland Meijer,0,1_W,
001,NormalMonFri,001-76,Westland Meijer,0,1_W,
001,NormalMonFri,001-77,Westland Meijer,0,1_W,
001,NormalMonFri,001-78,Westland Meijer,0,1_W,
001,NormalMonFri,001-79,Westland Meijer,0,1_W,
001,NormalMonFri,001-80,Westland Meijer,0,1_W,
001,NormalMonFri,001-81,Westland Meijer,0,1_W,
001,NormalMonFri,001-82,Westland Meijer,0,1_W,
001,NormalMonFri,001-83,Westland Meijer,0,1_W,
001,NormalMonFri,001-84,Westland Meijer,0,1_W,
001,NormalMonFri,001-85,Westland Meijer,0,1_W,
001,NormalMonFri,001-86,Westland Meijer,0,1_W,
001,NormalMonFri,001-87,Westland Meijer,0,1_W,
001,NormalMonFri,001-88,Westland Meijer,0,1_W,
001,NormalMonFri,001-89,Westland Meijer,0,1_W,
001,NormalMonFri,001-90,Westland Meijer,0,1_W,
001,NormalMonFri,001-91,Westland Meijer,0,1_W,
001,NormalMonFri,001-92,Westland Meijer,0,1_W,
001,NormalMonFri,001-93,Westland Meijer,0,1_W,
001,NormalMonFri,001-94,Westland Meijer,0,1_W,
001,NormalMonFri,001-95,Westland Meijer,0,1_W,
001,NormalMonFri,001-96,Westland Meijer,0,1_W,
001,NormalMonFri,001-97,Westland Meijer,0,1_W,
