route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name
400,saturday,400-1,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-2,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-3,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-4,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-5,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-6,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-7,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-8,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-9,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-10,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-11,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-12,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-13,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-14,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-15,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-16,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-17,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-18,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-19,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-20,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-21,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-22,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-23,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-24,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-25,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-26,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-27,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-28,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-29,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-30,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-31,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-32,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-33,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-34,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-35,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-36,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-37,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-38,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-39,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-40,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-41,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-42,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-43,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-44,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-45,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-46,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-47,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-48,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-49,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-50,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-51,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-52,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-53,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-54,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-55,Henry Ford West Bloomfield,1,4008,400L
400,saturday,400-56,Rosa Parks Nexus,0,4002,400L
400,saturday,400-57,Rosa Parks Nexus,0,4002,400L
400,saturday,400-58,Rosa Parks Nexus,0,4002,400L
400,saturday,400-59,Rosa Parks Nexus,0,4002,400L
400,saturday,400-60,Rosa Parks Nexus,0,4002,400L
400,saturday,400-61,Rosa Parks Nexus,0,4002,400L
400,saturday,400-62,Rosa Parks Nexus,0,4002,400L
400,saturday,400-63,Rosa Parks Nexus,0,4002,400L
400,saturday,400-64,Rosa Parks Nexus,0,4002,400L
400,saturday,400-65,Rosa Parks Nexus,0,4002,400L
400,saturday,400-66,Rosa Parks Nexus,0,4002,400L
400,saturday,400-67,Rosa Parks Nexus,0,4002,400L
400,saturday,400-68,Rosa Parks Nexus,0,4002,400L
400,saturday,400-69,Rosa Parks Nexus,0,4002,400L
400,saturday,400-70,Rosa Parks Nexus,0,4002,400L
400,saturday,400-71,Rosa Parks Nexus,0,4002,400L
400,saturday,400-72,Rosa Parks Nexus,0,4002,400L
400,saturday,400-73,Rosa Parks Nexus,0,4002,400L
400,saturday,400-74,Rosa Parks Nexus,0,4002,400L
400,saturday,400-75,Rosa Parks Nexus,0,4002,400L
400,saturday,400-76,Rosa Parks Nexus,0,4002,400L
400,saturday,400-77,Rosa Parks Nexus,0,4002,400L
400,saturday,400-78,Rosa Parks Nexus,0,4002,400L
400,saturday,400-79,Rosa Parks Nexus,0,4002,400L
400,saturday,400-80,Rosa Parks Nexus,0,4002,400L
400,saturday,400-81,Rosa Parks Nexus,0,4002,400L
400,saturday,400-82,Rosa Parks Nexus,0,4002,400L
