route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
804,NormalMonFri,804-1,Troy Civic Center,0,804_N
804,NormalMonFri,804-2,Troy Civic Center,0,804_N
804,NormalMonFri,804-3,Troy Civic Center,0,804_N
804,NormalMonFri,804-4,Troy Civic Center,0,804_N
804,NormalMonFri,804-5,Troy Civic Center,0,804_N
804,NormalMonFri,804-6,Troy Civic Center,0,804_N
804,NormalMonFri,804-7,Troy Civic Center,0,804_N
804,NormalMonFri,804-8,Troy Civic Center,0,804_N
804,NormalMonFri,804-9,Troy Civic Center,0,804_N
804,NormalMonFri,804-10,Troy Civic Center,0,804_N
804,NormalMonFri,804-11,Troy Civic Center,0,804_N
804,NormalMonFri,804-12,Troy Civic Center,0,804_N
804,NormalMonFri,804-13,Troy Civic Center,0,804_N
804,NormalMonFri,804-14,Troy Civic Center,0,804_N
804,NormalMonFri,804-15,Troy Civic Center,0,804_N
804,NormalMonFri,804-16,Troy Civic Center,0,804_N
804,NormalMonFri,804-17,Troy Civic Center,0,804_N
804,NormalMonFri,804-18,Troy Civic Center,0,804_N
804,NormalMonFri,804-19,Troy Civic Center,0,804_N
804,NormalMonFri,804-20,Troy Civic Center,0,804_N
804,NormalMonFri,804-21,Troy Civic Center,0,804_N
804,NormalMonFri,804-22,Troy Civic Center,0,804_N
804,NormalMonFri,804-23,Troy Civic Center,0,804_N
804,NormalMonFri,804-24,Troy Civic Center,0,804_N
804,NormalMonFri,804-25,Troy Civic Center,0,804_N
804,NormalMonFri,804-26,Troy Civic Center,0,804_N
804,NormalMonFri,804-27,Troy Civic Center,0,804_N
804,NormalMonFri,804-28,Troy Civic Center,0,804_N
804,NormalMonFri,804-29,Troy Civic Center,0,804_N
804,NormalMonFri,804-30,Troy Civic Center,0,804_N
804,NormalMonFri,804-31,Troy Civic Center,0,804_N
804,NormalMonFri,804-32,Troy Civic Center,0,804_N
804,NormalMonFri,804-33,Troy Civic Center,0,804_N
804,NormalMonFri,804-34,Troy Civic Center,0,804_N
804,NormalMonFri,804-35,Troy Civic Center,0,804_N
804,NormalMonFri,804-36,Troy Civic Center,0,804_N
804,NormalMonFri,804-37,Troy Civic Center,0,804_N
804,NormalMonFri,804-38,Troy Civic Center,0,804_N
804,NormalMonFri,804-39,Troy Civic Center,0,804_N
804,NormalMonFri,804-40,Troy Civic Center,0,804_N
804,NormalMonFri,804-41,Troy Civic Center,0,804_N
804,NormalMonFri,804-42,Troy Civic Center,0,804_N
804,NormalMonFri,804-43,Troy Civic Center,0,804_N
804,NormalMonFri,804-44,Troy Civic Center,0,804_N
804,NormalMonFri,804-45,Troy Civic Center,0,804_N
804,NormalMonFri,804-46,Troy Civic Center,0,804_N
804,NormalMonFri,804-47,Troy Civic Center,0,804_N
804,NormalMonFri,804-48,Troy Civic Center,0,804_N
804,NormalMonFri,804-49,Troy Civic Center,0,804_N
804,NormalMonFri,804-50,Troy Civic Center,0,804_N
804,NormalMonFri,804-51,Troy Civic Center,0,804_N
804,NormalMonFri,804-52,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-53,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-54,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-55,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-56,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-57,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-58,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-59,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-60,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-61,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-62,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-63,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-64,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-65,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-66,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-67,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-68,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-69,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-70,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-71,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-72,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-73,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-74,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-75,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-76,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-77,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-78,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-79,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-80,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-81,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-82,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-83,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-84,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-85,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-86,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-87,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-88,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-89,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-90,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-91,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-92,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-93,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-94,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-95,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-96,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-97,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-98,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-99,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-100,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-101,Metro Airport Nexus,1,804_S
804,NormalMonFri,804-102,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-103,Troy Civic Center,0,804_N
804,NormalSaturday,804-104,Troy Civic Center,0,804_N
804,NormalSaturday,804-105,Troy Civic Center,0,804_N
804,NormalSaturday,804-106,Troy Civic Center,0,804_N
804,NormalSaturday,804-107,Troy Civic Center,0,804_N
804,NormalSaturday,804-108,Troy Civic Center,0,804_N
804,NormalSaturday,804-109,Troy Civic Center,0,804_N
804,NormalSaturday,804-110,Troy Civic Center,0,804_N
804,NormalSaturday,804-111,Troy Civic Center,0,804_N
804,NormalSaturday,804-112,Troy Civic Center,0,804_N
804,NormalSaturday,804-113,Troy Civic Center,0,804_N
804,NormalSaturday,804-114,Troy Civic Center,0,804_N
804,NormalSaturday,804-115,Troy Civic Center,0,804_N
804,NormalSaturday,804-116,Troy Civic Center,0,804_N
804,NormalSaturday,804-117,Troy Civic Center,0,804_N
804,NormalSaturday,804-118,Troy Civic Center,0,804_N
804,NormalSaturday,804-119,Troy Civic Center,0,804_N
804,NormalSaturday,804-120,Troy Civic Center,0,804_N
804,NormalSaturday,804-121,Troy Civic Center,0,804_N
804,NormalSaturday,804-122,Troy Civic Center,0,804_N
804,NormalSaturday,804-123,Troy Civic Center,0,804_N
804,NormalSaturday,804-124,Troy Civic Center,0,804_N
804,NormalSaturday,804-125,Troy Civic Center,0,804_N
804,NormalSaturday,804-126,Troy Civic Center,0,804_N
804,NormalSaturday,804-127,Troy Civic Center,0,804_N
804,NormalSaturday,804-128,Troy Civic Center,0,804_N
804,NormalSaturday,804-129,Troy Civic Center,0,804_N
804,NormalSaturday,804-130,Troy Civic Center,0,804_N
804,NormalSaturday,804-131,Troy Civic Center,0,804_N
804,NormalSaturday,804-132,Troy Civic Center,0,804_N
804,NormalSaturday,804-133,Troy Civic Center,0,804_N
804,NormalSaturday,804-134,Troy Civic Center,0,804_N
804,NormalSaturday,804-135,Troy Civic Center,0,804_N
804,NormalSaturday,804-136,Troy Civic Center,0,804_N
804,NormalSaturday,804-137,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-138,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-139,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-140,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-141,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-142,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-143,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-144,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-145,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-146,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-147,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-148,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-149,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-150,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-151,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-152,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-153,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-154,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-155,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-156,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-157,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-158,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-159,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-160,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-161,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-162,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-163,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-164,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-165,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-166,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-167,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-168,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-169,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-170,Metro Airport Nexus,1,804_S
804,NormalSaturday,804-171,Metro Airport Nexus,1,804_S
